fto,sentence_type,speech_act,convo_num
42.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
342.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
110.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
76.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
53.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-769.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
184.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
773.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-147.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
21.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-44.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
168.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
199.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
104.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
420.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-855.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
644.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
443.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
107.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
412.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
208.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-52.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
68.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
303.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-111.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
312.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
68.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-211.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
536.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
207.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
546.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-846.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
207.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
324.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-28.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-6.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-149.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
487.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-171.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-517.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-468.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
278.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-382.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-52.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
47.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
533.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
191.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
12.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-28.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
127.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-909.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
558.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-498.0,0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
-417.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2893
469.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-7.0,0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
148.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-328.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-732.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-438.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-144.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
530.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
29.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-5.0,0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
211.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-233.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-552.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
211.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
177.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-510.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
508.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-535.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
610.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-50.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-131.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
403.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-827.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-100.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
10.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
154.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
300.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
113.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
152.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-46.0,0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
171.0,-0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
106.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
910.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-52.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
-580.0,0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2620
191.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
450.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-508.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
405.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
214.0,-0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
75.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
298.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-950.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
37.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
75.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-178.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
1.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-309.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-79.0,0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
38.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-106.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-55.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
275.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
46.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
194.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-48.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-250.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-140.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
18.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
238.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
155.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
-101.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2540
688.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-703.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
246.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
393.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-188.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
512.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
215.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-407.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-210.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
316.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
74.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-17.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
404.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-293.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
225.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-388.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-247.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
106.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
8.0,-0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-153.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-946.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
356.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-74.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-169.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
426.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-283.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-61.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
7.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-338.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
448.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-433.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
88.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-66.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-8.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-106.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-137.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
414.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-839.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-224.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-615.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
311.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/2868
-91.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-21.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-253.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-326.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-201.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
129.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
423.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-140.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-123.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
61.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-460.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
617.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-6.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
42.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-190.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
231.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-255.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-289.0,-0.5,-0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
-316.0,0.5,0.5,/home/chas/Projects/switchboard-pipeline/all-markup/3239
